timestamp(s),base_x,base_y,base_z,robot_x_dir_x,robot_x_dir_y,robot_x_dir_z,FL_x,FL_y,FR_x,FR_y,RL_x,RL_y,RR_x,RR_y,FL_contact,FR_contact,RL_contact,RR_contact
0.0185,3.5046,3.9758,0.7837,0.9996,-0.0105,-0.0275,3.734,4.1474,3.6368,3.7887,3.2169,4.1201,3.1124,3.7883,0,0,0,0
0.0696,3.5096,3.9748,0.7825,0.9985,-0.0191,-0.0517,3.7151,4.1319,3.6684,3.7845,3.1954,4.0919,3.1684,3.7998,0,0,0,0
0.08,3.5144,3.9737,0.7776,0.997,-0.023,-0.0736,3.6881,4.1213,3.695,3.7673,3.179,4.0752,3.2107,3.8182,0,0,0,0
0.0905,3.5189,3.9722,0.7684,0.9948,-0.0249,-0.0988,3.6706,4.1211,3.7231,3.7558,3.173,4.0689,3.2427,3.831,0,0,0,0
0.1016,3.5229,3.9707,0.755,0.992,-0.026,-0.1236,3.6699,4.1211,3.7445,3.7499,3.1847,4.0647,3.2859,3.8378,0,0,0,0
0.1152,3.5272,3.9693,0.7376,0.9894,-0.0256,-0.143,3.6821,4.1145,3.7519,3.7509,3.2099,4.0582,3.3134,3.8372,0,0,0,0
0.1303,3.5318,3.968,0.7162,0.9873,-0.0237,-0.1568,3.7028,4.1029,3.7489,3.7556,3.2332,4.0461,3.3209,3.835,0,0,0,0
0.1468,3.5368,3.9668,0.6909,0.9855,-0.0219,-0.1683,3.7147,4.0969,3.7467,3.7589,3.2477,4.0324,3.3175,3.8349,1,0,1,0
0.1657,3.543,3.9648,0.6685,0.981,-0.0203,-0.1927,3.7133,4.0967,3.7274,3.7627,3.2472,4.0321,3.3153,3.8358,1,1,1,1
0.1802,3.5494,3.9631,0.6537,0.9751,-0.0219,-0.2206,3.7124,4.0966,3.7263,3.7628,3.247,4.0321,3.3151,3.8357,1,1,1,1
0.1983,3.5565,3.9619,0.6446,0.9705,-0.0254,-0.2398,3.7122,4.0965,3.726,3.7629,3.2473,4.0321,3.3152,3.8356,1,1,1,1
0.2156,3.5648,3.961,0.6384,0.9668,-0.0292,-0.2537,3.7124,4.0964,3.726,3.7628,3.2478,4.0321,3.3156,3.8356,1,1,1,1
0.2323,3.574,3.9602,0.6331,0.9645,-0.0325,-0.2622,3.7129,4.0963,3.7262,3.7628,3.2486,4.0321,3.3115,3.8226,1,1,1,0
0.248,3.5834,3.9593,0.6272,0.9637,-0.0353,-0.2647,3.7135,4.0963,3.7266,3.7628,3.2491,4.0322,3.3142,3.7964,1,1,1,0
0.2635,3.5926,3.958,0.6209,0.9639,-0.0377,-0.2638,3.7141,4.0961,3.7271,3.7628,3.2496,4.0323,3.3253,3.7676,1,1,1,0
0.2788,3.6015,3.9565,0.6143,0.9646,-0.0397,-0.2609,3.7148,4.096,3.7276,3.7627,3.25,4.0323,3.3418,3.7422,1,1,1,0
0.2932,3.6102,3.9545,0.6078,0.9655,-0.0417,-0.2571,3.7155,4.0958,3.7282,3.7626,3.2504,4.0323,3.3613,3.7221,1,1,1,0
