timestamp(s),base_x,base_y,base_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,RL_x,RL_y,RL_z,RR_x,RR_y,RR_z,FL_contact,FR_contact,RL_contact,RR_contact
0.0163,-0.0106,-0.0003,0.4178,0.1985,0.1684,0.1122,0.1238,-0.1708,0.1067,-0.2912,0.1563,0.1156,-0.3744,-0.1698,0.136,0,0,0,0
0.0639,-0.0153,-0.0003,0.4122,0.1294,0.1335,0.0721,0.1301,-0.1507,0.0849,-0.3253,0.1417,0.1042,-0.3509,-0.1462,0.0939,0,0,0,0
0.072,-0.0201,-0.0007,0.402,0.0613,0.098,0.0379,0.1457,-0.1372,0.0665,-0.3469,0.1349,0.095,-0.3418,-0.1116,0.0603,0,0,0,0
0.081,-0.0257,-0.0012,0.3866,0.0406,0.0859,0.0223,0.1814,-0.1413,0.0566,-0.3418,0.1433,0.085,-0.332,-0.0815,0.0394,1,0,0,0
0.0903,-0.0307,-0.0019,0.3698,0.039,0.086,0.0225,0.2146,-0.1475,0.0465,-0.3314,0.1508,0.0734,-0.3379,-0.0767,0.0224,1,0,0,1
0.1009,-0.0337,-0.0026,0.3556,0.0379,0.0861,0.0226,0.2187,-0.1487,0.0236,-0.3281,0.1426,0.0564,-0.3389,-0.0769,0.0225,1,1,0,1
0.1126,-0.0341,-0.003,0.3445,0.0373,0.0862,0.0227,0.2177,-0.1487,0.0236,-0.3453,0.1294,0.0256,-0.3394,-0.077,0.0226,1,1,0,1
0.1242,-0.0319,-0.0029,0.3369,0.0373,0.0863,0.0227,0.2172,-0.1486,0.0236,-0.3454,0.1293,0.0225,-0.3397,-0.0771,0.0226,1,1,1,1
0.1356,-0.027,-0.003,0.3326,0.0377,0.0863,0.0227,0.2173,-0.1486,0.0236,-0.3453,0.1293,0.0225,-0.3396,-0.0772,0.0226,1,1,1,1
0.1469,-0.0199,-0.0033,0.33,0.0383,0.0863,0.0226,0.2177,-0.1487,0.0236,-0.345,0.1293,0.0225,-0.3393,-0.0774,0.0225,1,1,1,1
0.1575,-0.0116,-0.0037,0.3281,0.0392,0.0862,0.0225,0.2182,-0.1487,0.0236,-0.3445,0.1293,0.0225,-0.3388,-0.0774,0.0225,1,1,1,1
0.1688,-0.0026,-0.004,0.3265,0.04,0.0862,0.0225,0.2187,-0.1488,0.0235,-0.3438,0.1292,0.0224,-0.3382,-0.0775,0.0225,1,1,1,1
0.1802,0.0066,-0.0044,0.3249,0.0409,0.0862,0.0224,0.2193,-0.1488,0.0235,-0.3432,0.1292,0.0224,-0.3375,-0.0776,0.0224,1,1,1,1
0.1905,0.0158,-0.0048,0.3232,0.0417,0.0861,0.0223,0.2199,-0.1488,0.0234,-0.3424,0.1292,0.0223,-0.3206,-0.0806,0.0233,1,1,1,0
0.2011,0.025,-0.0052,0.3215,0.0425,0.0861,0.0223,0.2205,-0.1489,0.0234,-0.3417,0.1292,0.0222,-0.2867,-0.0862,0.0273,1,1,1,0
0.2119,0.0343,-0.0054,0.3196,0.0478,0.0855,0.0222,0.221,-0.1489,0.0234,-0.3409,0.1292,0.0222,-0.2459,-0.0934,0.0388,1,1,1,0
0.2234,0.0436,-0.0054,0.3175,0.0786,0.084,0.0222,0.2216,-0.1489,0.0234,-0.34,0.1292,0.0221,-0.2083,-0.1023,0.057,1,1,1,0
0.2404,0.053,-0.0051,0.3151,0.121,0.0841,0.0273,0.2222,-0.1489,0.0233,-0.3392,0.1293,0.022,-0.1802,-0.1118,0.0748,0,1,1,0
0.2615,0.0627,-0.0044,0.3127,0.1961,0.0831,0.0294,0.2228,-0.1488,0.0233,-0.3383,0.1294,0.0219,-0.1624,-0.1167,0.0844,0,1,1,0
0.283,0.0728,-0.0033,0.3105,0.2664,0.0779,0.0269,0.2234,-0.1487,0.0232,-0.3373,0.1295,0.0219,-0.1502,-0.1145,0.0835,0,1,1,0
0.3039,0.0832,-0.0018,0.3082,0.2861,0.0746,0.0236,0.2242,-0.1485,0.0232,-0.3363,0.1296,0.0218,-0.1396,-0.1065,0.0733,1,1,1,0
