timestamp(s),base_x,base_y,base_z,robot_x_dir_x,robot_x_dir_y,robot_x_dir_z,FL_x,FL_y,FR_x,FR_y,RL_x,RL_y,RR_x,RR_y,FL_contact,FR_contact,RL_contact,RR_contact
0.1214,-0.0106,-0.0003,0.4178,0.9998,-0.0013,-0.022,0.1985,0.1684,0.1238,-0.1708,-0.2912,0.1563,-0.3744,-0.1698,0,0,0,0
0.1334,-0.0153,-0.0003,0.4122,0.9995,-0.0018,-0.0308,0.1294,0.1335,0.1301,-0.1507,-0.3253,0.1417,-0.3509,-0.1462,0,0,0,0
0.1421,-0.0201,-0.0007,0.402,0.9993,0.0036,-0.0378,0.0613,0.098,0.1457,-0.1372,-0.3469,0.1349,-0.3418,-0.1116,0,0,0,0
0.1522,-0.0257,-0.0012,0.3866,0.9986,0.0133,-0.0512,0.0406,0.0859,0.1814,-0.1413,-0.3418,0.1433,-0.332,-0.0815,1,0,0,0
0.1618,-0.0307,-0.0019,0.3698,0.9979,0.0204,-0.0608,0.039,0.086,0.2146,-0.1475,-0.3314,0.1508,-0.3379,-0.0767,1,0,0,1
0.1721,-0.0337,-0.0026,0.3556,0.9968,0.0241,-0.0767,0.0379,0.0861,0.2187,-0.1487,-0.3281,0.1426,-0.3389,-0.0769,1,1,0,1
0.1827,-0.0341,-0.003,0.3445,0.9963,0.0251,-0.0817,0.0373,0.0862,0.2177,-0.1487,-0.3453,0.1294,-0.3394,-0.077,1,1,0,1
0.1928,-0.0319,-0.0029,0.3369,0.9968,0.0254,-0.0752,0.0373,0.0863,0.2172,-0.1486,-0.3454,0.1293,-0.3397,-0.0771,1,1,1,1
0.2054,-0.027,-0.003,0.3326,0.9974,0.0261,-0.0666,0.0377,0.0863,0.2173,-0.1486,-0.3453,0.1293,-0.3396,-0.0772,1,1,1,1
0.2166,-0.0199,-0.0033,0.33,0.9981,0.0264,-0.055,0.0383,0.0863,0.2177,-0.1487,-0.345,0.1293,-0.3393,-0.0774,1,1,1,1
0.2261,-0.0116,-0.0037,0.3281,0.9987,0.0263,-0.0435,0.0392,0.0862,0.2182,-0.1487,-0.3445,0.1293,-0.3388,-0.0774,1,1,1,1
0.2362,-0.0026,-0.004,0.3265,0.9991,0.0258,-0.0337,0.04,0.0862,0.2187,-0.1488,-0.3438,0.1292,-0.3382,-0.0775,1,1,1,1
0.2472,0.0066,-0.0044,0.3249,0.9994,0.0252,-0.0256,0.0409,0.0862,0.2193,-0.1488,-0.3432,0.1292,-0.3375,-0.0776,1,1,1,1
0.2598,0.0158,-0.0048,0.3232,0.9995,0.0246,-0.0192,0.0417,0.0861,0.2199,-0.1488,-0.3424,0.1292,-0.3206,-0.0806,1,1,1,0
0.2723,0.025,-0.0052,0.3215,0.9996,0.0243,-0.015,0.0425,0.0861,0.2205,-0.1489,-0.3417,0.1292,-0.2867,-0.0862,1,1,1,0
0.2834,0.0343,-0.0054,0.3196,0.9996,0.0242,-0.0138,0.0478,0.0855,0.221,-0.1489,-0.3409,0.1292,-0.2459,-0.0934,1,1,1,0
0.2961,0.0436,-0.0054,0.3175,0.9996,0.024,-0.0143,0.0786,0.084,0.2216,-0.1489,-0.34,0.1292,-0.2083,-0.1023,1,1,1,0
0.3087,0.053,-0.0051,0.3151,0.9996,0.0231,-0.0155,0.121,0.0841,0.2222,-0.1489,-0.3392,0.1293,-0.1802,-0.1118,0,1,1,0
0.3262,0.0627,-0.0044,0.3127,0.9996,0.0223,-0.0184,0.1961,0.0831,0.2228,-0.1488,-0.3383,0.1294,-0.1624,-0.1167,0,1,1,0
0.3488,0.0728,-0.0033,0.3105,0.9995,0.022,-0.0236,0.2664,0.0779,0.2234,-0.1487,-0.3373,0.1295,-0.1502,-0.1145,0,1,1,0
0.3631,0.0832,-0.0018,0.3082,0.9993,0.0225,-0.0309,0.2861,0.0746,0.2242,-0.1485,-0.3363,0.1296,-0.1396,-0.1065,1,1,1,0
0.3751,0.0934,-0.0001,0.3061,0.9991,0.0233,-0.036,0.2867,0.0747,0.2249,-0.1484,-0.3353,0.1297,-0.1311,-0.097,1,1,1,0
0.3862,0.1034,0.0013,0.3041,0.9991,0.0242,-0.0353,0.2874,0.0749,0.2257,-0.1483,-0.3343,0.1297,-0.1238,-0.0874,1,1,1,0
0.3961,0.113,0.0023,0.3019,0.9992,0.0247,-0.0307,0.2882,0.0749,0.2265,-0.1482,-0.3335,0.1298,-0.1219,-0.0851,1,1,1,1
0.4063,0.1221,0.0031,0.3002,0.9993,0.025,-0.0284,0.2889,0.075,0.2273,-0.1481,-0.3248,0.1302,-0.1212,-0.0851,1,1,1,1
0.4165,0.1309,0.0039,0.2987,0.9993,0.0253,-0.0283,0.2895,0.075,0.2342,-0.1538,-0.2997,0.1332,-0.1205,-0.085,1,0,1,1
0.4259,0.1394,0.0045,0.2974,0.9992,0.0256,-0.0294,0.2902,0.0751,0.2605,-0.1672,-0.2597,0.1421,-0.1198,-0.085,1,0,0,1
0.4387,0.1479,0.0051,0.2961,0.9992,0.0253,-0.0295,0.2909,0.0751,0.3044,-0.1834,-0.2122,0.1538,-0.1191,-0.0849,1,0,0,1
0.4542,0.1566,0.0056,0.2949,0.9993,0.0245,-0.028,0.2917,0.0751,0.3575,-0.195,-0.1672,0.1633,-0.1184,-0.0849,1,0,0,1
0.4698,0.1656,0.006,0.2938,0.9994,0.0235,-0.0251,0.2925,0.0751,0.4105,-0.1977,-0.1275,0.1696,-0.1176,-0.0848,1,0,0,1
0.4925,0.1748,0.0063,0.2929,0.9995,0.0229,-0.0214,0.2934,0.0751,0.4573,-0.1929,-0.0917,0.1738,-0.1168,-0.0848,1,0,0,1
0.5112,0.1842,0.0063,0.2921,0.9996,0.0228,-0.0184,0.2943,0.075,0.4961,-0.1847,-0.0578,0.1764,-0.116,-0.0848,1,0,0,1
0.5326,0.1938,0.006,0.2913,0.9996,0.023,-0.0171,0.2951,0.075,0.5279,-0.1762,-0.026,0.177,-0.1152,-0.0848,1,0,0,1
0.5527,0.2037,0.0056,0.2903,0.9996,0.0236,-0.0182,0.296,0.0749,0.5533,-0.1687,0.0015,0.1759,-0.1143,-0.0849,1,0,0,1
0.5721,0.2139,0.0048,0.2889,0.9995,0.0244,-0.0218,0.2969,0.0748,0.5727,-0.1624,0.0237,0.1737,-0.1134,-0.0849,1,0,0,1
0.5895,0.2242,0.0039,0.2875,0.9993,0.0249,-0.0269,0.2978,0.0748,0.5757,-0.1619,0.041,0.1713,-0.1124,-0.085,1,1,0,1
0.6107,0.2341,0.0034,0.2868,0.9993,0.0251,-0.0293,0.2987,0.0747,0.5758,-0.162,0.0539,0.1684,-0.1115,-0.085,1,1,0,1
0.6319,0.2438,0.0032,0.2866,0.9993,0.025,-0.0287,0.2996,0.0747,0.5761,-0.162,0.0653,0.1652,-0.1107,-0.085,1,1,0,1
0.652,0.2532,0.0034,0.2867,0.9993,0.0246,-0.0264,0.3005,0.0746,0.5764,-0.162,0.077,0.1625,-0.1098,-0.085,1,1,0,1
0.672,0.2626,0.0038,0.287,0.9994,0.0241,-0.0231,0.3014,0.0746,0.5769,-0.162,0.0893,0.1601,-0.109,-0.0849,1,1,0,1
0.6916,0.272,0.0044,0.2874,0.9995,0.0234,-0.0194,0.3023,0.0746,0.5774,-0.162,0.1022,0.1575,-0.1081,-0.0849,1,1,0,1
0.7118,0.2815,0.005,0.2877,0.9996,0.0224,-0.0153,0.3032,0.0746,0.5779,-0.1619,0.1156,0.1541,-0.1072,-0.0848,1,1,0,1
0.7322,0.2912,0.0057,0.288,0.9997,0.021,-0.0108,0.3041,0.0746,0.5785,-0.162,0.1294,0.1493,-0.1064,-0.0847,1,1,0,1
0.7522,0.3011,0.0063,0.2883,0.9998,0.019,-0.0054,0.3051,0.0746,0.5791,-0.162,0.1436,0.1426,-0.1055,-0.0846,1,1,0,1
0.7724,0.3112,0.0069,0.2882,0.9999,0.017,0.0019,0.3061,0.0746,0.5798,-0.162,0.1507,0.139,-0.1046,-0.0846,1,1,1,1
0.7909,0.3212,0.0072,0.2886,0.9998,0.0161,0.0071,0.3071,0.0745,0.5805,-0.162,0.1514,0.139,-0.0977,-0.0814,1,1,1,1
0.812,0.3311,0.0071,0.2894,0.9998,0.0156,0.0111,0.308,0.0744,0.5812,-0.1621,0.1522,0.139,-0.0786,-0.0766,1,1,1,1
0.8291,0.341,0.0066,0.2904,0.9998,0.0155,0.0143,0.309,0.0743,0.5819,-0.1621,0.153,0.139,-0.0494,-0.074,1,1,1,1
0.8519,0.3506,0.0061,0.2911,0.9998,0.0157,0.0151,0.3181,0.078,0.5827,-0.1622,0.1539,0.1389,-0.0136,-0.0751,1,1,1,0
0.8708,0.36,0.0057,0.2912,0.9998,0.0158,0.0148,0.3558,0.0861,0.5833,-0.1622,0.1547,0.1389,0.0309,-0.08,1,1,1,0
0.8927,0.3693,0.0053,0.291,0.9998,0.0157,0.0146,0.4162,0.0978,0.584,-0.1623,0.1554,0.1389,0.0723,-0.0845,0,1,1,0
0.9127,0.3788,0.005,0.2909,0.9998,0.0153,0.0149,0.4908,0.109,0.5846,-0.1623,0.1563,0.1389,0.1044,-0.0862,0,1,1,0
0.9319,0.3884,0.0048,0.2909,0.9998,0.0146,0.0156,0.5589,0.1134,0.5854,-0.1623,0.1571,0.1388,0.1281,-0.0854,0,1,1,0
0.9502,0.3981,0.0048,0.2909,0.9998,0.014,0.016,0.6125,0.1107,0.5861,-0.1623,0.158,0.1388,0.1468,-0.0838,0,1,1,0
0.9714,0.4079,0.0051,0.2909,0.9998,0.0134,0.0148,0.6524,0.1034,0.5869,-0.1623,0.1589,0.1389,0.1637,-0.0829,0,1,1,0
0.9922,0.4181,0.0057,0.2907,0.9999,0.0129,0.011,0.6811,0.0944,0.5877,-0.1622,0.1598,0.1389,0.1801,-0.0828,0,1,1,0
1.0115,0.4285,0.0065,0.2903,0.9999,0.0127,0.0042,0.6966,0.0888,0.5886,-0.1621,0.1608,0.1389,0.196,-0.0831,1,1,1,0
1.0326,0.4389,0.0075,0.2901,0.9999,0.0128,-0.0029,0.6971,0.0889,0.5894,-0.162,0.1618,0.139,0.2099,-0.084,1,1,1,0
1.0526,0.4492,0.0084,0.2904,0.9999,0.0128,-0.0082,0.6978,0.089,0.5903,-0.1619,0.1628,0.139,0.2212,-0.0844,1,1,1,0
1.0698,0.4594,0.0092,0.291,0.9998,0.0126,-0.0119,0.6984,0.089,0.5912,-0.1618,0.1638,0.1391,0.2312,-0.0836,1,1,1,0
1.0913,0.4696,0.0099,0.2918,0.9998,0.0124,-0.0146,0.6992,0.089,0.5921,-0.1618,0.1648,0.1391,0.2409,-0.0814,1,1,1,0
1.1129,0.4798,0.0103,0.2927,0.9998,0.0121,-0.0165,0.7,0.089,0.593,-0.1617,0.1658,0.1391,0.2508,-0.0779,1,1,1,0
1.1326,0.49,0.0105,0.2935,0.9998,0.0118,-0.0177,0.7008,0.089,0.5939,-0.1617,0.1668,0.1391,0.2609,-0.0733,1,1,1,0
1.1529,0.5003,0.0106,0.2942,0.9998,0.0115,-0.0182,0.7017,0.0889,0.5949,-0.1617,0.1678,0.1391,0.2712,-0.0684,1,1,1,0
